drug	n_gwas_target_genes	approved	genes
LAPACHONE	1	False	MBNL1
RAMATROBAN	1	False	MBNL1
ALBUTEROL SULFATE	1	True	CLOCK
CHEMBL:CHEMBL401844	1	False	ADCY2
DERIVATIVE 17 [NAKAHATA ET AL., 2018]	1	False	ADCY2
COMPOUND 7A [PMID: 24884590]	1	False	ADCY2
MKC-1	1	False	IPO11
CCT244747	1	False	EFNA5
PHENOBARBITAL	1	True	GRIA1
NEOCEPTIN-3	1	False	GRIA1
SELURAMPANEL	1	False	GRIA1
DESFLURANE	1	True	GRIA1
MK-8777	1	False	GRIA1
ANESTHETIC AGENT	1	False	GRIA1
PESAMPATOR	1	False	GRIA1
L6H21	1	False	GRIA1
PERAMPANEL	1	True	GRIA1
ZONAMPANEL	1	False	GRIA1
SODIUM CHLORIDE	1	True	GRIA1
TEZAMPANEL	1	False	GRIA1
IRAMPANEL	1	False	GRIA1
TOPIRAMATE	1	True	GRIA1
TALAMPANEL	1	False	GRIA1
SEVOFLURANE	1	True	GRIA1
TAK-653	1	False	GRIA1
ISOFLURANE	1	True	GRIA1
BECAMPANEL	1	False	GRIA1
MIBAMPATOR	1	False	GRIA1
RECOMBINANT FIBROBLAST GROWTH FACTOR 2	1	False	GRIA1
NBQX	1	False	GRIA1
CX1739	1	False	GRIA1
ASPARAGINASE	1	True	GRIA1
CX-717	1	False	GRIA1
FARAMPATOR	1	False	GRIA1
ENFLURANE	1	True	GRIA1
DASOLAMPANEL	1	False	GRIA1
PIRACETAM	1	False	GRIA1
HG2+	1	False	BTN1A1
PHLORETIN	1	False	BTN1A1
IMATINIB	1	True	DDR1
PAK-104P	1	False	DDR1
CARBIMAZOLE	1	True	HLA-B
CLINDAMYCIN	1	True	HLA-B
PENICILLIN V	1	True	HLA-B
CLAVULANIC ACID	1	True	HLA-B
LAMIVUDINE	1	True	HLA-B
FLOXACILLIN	1	True	HLA-B
ABACAVIR	1	True	HLA-B
TICLOPIDINE	1	True	HLA-B
MINOCYCLINE	1	True	HLA-B
CARBAMAZEPINE	1	True	HLA-B
PHENYTOIN SODIUM	1	True	HLA-B
MEASLES VACCINE	1	False	HLA-B
FOSPHENYTOIN	1	True	HLA-B
PEGINTERFERON ALFA-2B	1	True	HLA-B
AMOXICILLIN ANHYDROUS	1	True	HLA-B
SULFASALAZINE	1	True	HLA-B
STAVUDINE	1	True	HLA-B
TRICHLOROETHYLENE	1	False	HLA-B
RECOMBINANT INTERFERON	1	False	HLA-B
VELIMOGENE ALIPLASMID	1	False	HLA-B
SULFAMETHOXAZOLE / TRIMETHOPRIM	1	False	HLA-B
DAPSONE	1	True	HLA-B
OXCARBAZEPINE	1	True	HLA-B
BACILLUS CALMETTE-GUERIN ANTIGEN	1	False	HLA-B
PENICILLIN G POTASSIUM	1	True	HLA-B
THALIDOMIDE	1	True	HLA-B
METHAZOLAMIDE	1	True	HLA-B
ACETAZOLAMIDE	1	True	HLA-B
ZABEDOSERTIB	1	False	EPHA7
GLPG2534	1	False	EPHA7
ZOMIRADOMIDE	1	False	EPHA7
ND-2158	1	False	EPHA7
ND-2110	1	False	EPHA7
IRAK-1/4 INHIBITOR	1	False	EPHA7
ZIMLOVISERTIB	1	False	EPHA7
IRAK4 INHIBITOR RAC-45 [PMID: 18501603]	1	False	EPHA7
WARFARIN	1	True	EPHA7
PF-06426779	1	False	EPHA7
EMAVUSERTIB	1	False	EPHA7
